VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,pickup_hour,pickup_dayofweek,pickup_month,is_weekend,trip_duration_min,avg_speed_mph
2,1.0,3.27,1.0,170.0,143.0,1.0,17.7,1.0,0.5,0.0,1.0,2.5,0.0,20,5,1,1,14.916666666666666,13.153072625698325
1,1.0,3.0,1.0,249.0,233.0,1.0,17.0,3.5,0.5,0.0,1.0,2.5,0.0,0,6,1,1,15.816666666666666,11.380400421496311
2,4.0,2.37,1.0,186.0,239.0,2.0,14.2,0.0,0.5,0.0,1.0,2.5,0.0,11,6,1,1,12.95,10.980694980694981
2,1.0,4.16,1.0,238.0,90.0,1.0,23.3,0.0,0.5,0.0,1.0,2.5,0.0,12,0,1,0,20.616666666666667,12.106709781729991
1,1.0,1.1,1.0,45.0,144.0,2.0,9.3,2.5,0.5,0.0,1.0,2.5,0.0,14,1,1,0,11.883333333333333,5.553997194950912
2,1.0,3.0,1.0,90.0,229.0,1.0,16.3,1.0,0.5,0.0,1.0,2.5,0.0,3,6,1,1,13.65,13.186813186813186
1,2.0,20.0,1.0,132.0,264.0,2.0,75.8,1.25,0.5,0.0,1.0,0.0,1.25,15,2,1,0,46.71666666666667,25.68676418123439
2,1.0,7.9,1.0,132.0,95.0,1.0,31.7,1.0,0.5,0.0,1.0,0.0,1.25,0,4,1,0,14.133333333333333,33.53773584905661
2,1.0,3.64,1.0,43.0,107.0,1.0,21.9,2.5,0.5,0.0,1.0,2.5,0.0,19,3,1,0,21.066666666666666,10.367088607594937
2,1.0,2.48,1.0,161.0,140.0,1.0,17.0,2.5,0.5,0.0,1.0,2.5,0.0,18,4,1,0,16.25,9.156923076923077
2,1.0,4.29,1.0,87.0,234.0,2.0,21.9,0.0,0.5,0.0,1.0,2.5,0.0,15,4,1,0,15.933333333333334,16.154811715481173
1,1.0,3.2,1.0,230.0,263.0,1.0,16.3,3.5,0.5,0.0,1.0,2.5,0.0,23,4,1,0,14.383333333333333,13.348783314020858
1,1.0,1.5,1.0,163.0,236.0,1.0,10.0,5.0,0.5,0.0,1.0,2.5,0.0,18,3,1,0,8.183333333333334,10.9979633401222
2,5.0,1.44,1.0,142.0,237.0,2.0,8.6,1.0,0.5,0.0,1.0,2.5,0.0,21,3,1,0,5.783333333333333,14.939481268011527
2,1.0,1.13,1.0,239.0,263.0,1.0,7.9,0.0,0.5,0.0,1.0,2.5,0.0,10,1,1,0,5.9,11.491525423728811
2,1.0,1.67,1.0,236.0,238.0,1.0,11.4,0.0,0.5,0.0,1.0,2.5,0.0,12,3,1,0,10.116666666666667,9.904448105436572
2,3.0,1.45,1.0,107.0,158.0,1.0,10.0,1.0,0.5,0.0,1.0,2.5,0.0,1,6,1,1,8.383333333333333,10.377733598409543
2,1.0,1.92,1.0,140.0,143.0,1.0,12.8,0.0,0.5,0.0,1.0,2.5,0.0,7,2,1,0,11.916666666666666,9.667132867132867
2,1.0,1.9,1.0,234.0,233.0,1.0,12.1,0.0,0.5,0.0,1.0,2.5,0.0,19,6,1,1,10.116666666666667,11.268533772652388
2,2.0,11.73,1.0,74.0,28.0,2.0,45.7,1.0,0.5,6.55,1.0,0.0,0.0,20,4,1,0,17.966666666666665,39.17254174397032
2,1.0,0.79,1.0,166.0,151.0,1.0,7.2,2.5,0.5,0.0,1.0,0.0,0.0,18,4,1,0,4.366666666666666,10.85496183206107
2,1.0,1.72,1.0,48.0,137.0,2.0,12.1,0.0,0.5,0.0,0.3,2.5,0.0,6,1,1,0,11.4,9.052631578947368
2,1.0,1.07,1.0,224.0,114.0,1.0,9.3,0.0,0.5,0.0,1.0,2.5,0.0,11,6,1,1,7.433333333333334,8.63677130044843
2,1.0,1.82,1.0,263.0,229.0,1.0,13.5,0.0,0.5,0.0,1.0,2.5,0.0,14,4,1,0,12.383333333333333,8.818304172274564
2,2.0,8.61,1.0,48.0,49.0,1.0,39.4,1.0,0.5,0.0,1.0,2.5,0.0,22,3,1,0,29.866666666666667,17.296875
2,4.0,0.88,1.0,164.0,186.0,2.0,8.6,0.0,0.5,0.0,1.0,2.5,0.0,12,6,1,1,7.0,7.542857142857143
2,2.0,0.78,1.0,239.0,142.0,1.0,7.2,0.0,0.5,0.0,1.0,2.5,0.0,17,6,1,1,4.883333333333334,9.583617747440272
1,1.0,0.7,5.0,79.0,232.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,3,5,1,1,4.733333333333333,8.873239436619718
2,1.0,0.93,1.0,170.0,100.0,1.0,10.7,0.0,0.5,0.0,1.0,2.5,0.0,11,0,1,0,10.616666666666667,5.255886970172685
2,1.0,8.73,1.0,132.0,56.0,1.0,33.8,0.0,0.5,0.0,1.0,0.0,1.25,11,2,1,0,14.116666666666667,37.10507674144038
2,1.0,2.61,1.0,142.0,263.0,1.0,14.2,2.5,0.5,0.0,1.0,2.5,0.0,18,2,1,0,10.55,14.843601895734595
1,1.0,1.0,1.0,24.0,74.0,1.0,8.6,0.0,0.5,0.0,1.0,0.0,0.0,13,5,1,1,7.2,8.333333333333332
2,1.0,0.8,1.0,161.0,237.0,1.0,6.5,1.0,0.5,0.0,1.0,2.5,0.0,20,5,1,1,4.616666666666666,10.397111913357401
2,2.0,3.53,1.0,230.0,144.0,1.0,20.5,1.0,0.5,0.0,1.0,2.5,0.0,22,2,1,0,18.483333333333334,11.458972046889087
1,1.0,1.4,1.0,239.0,263.0,1.0,9.3,5.0,0.5,0.0,1.0,2.5,0.0,16,2,1,0,9.333333333333334,9.0
1,4.0,2.1,1.0,41.0,116.0,2.0,14.9,1.0,0.5,0.0,1.0,0.0,0.0,3,6,1,1,16.5,7.636363636363636
2,2.0,2.31,1.0,163.0,249.0,1.0,15.6,2.5,0.5,0.0,1.0,2.5,0.0,18,1,1,0,16.533333333333335,8.38306451612903
2,1.0,2.54,1.0,158.0,170.0,1.0,16.3,2.5,0.5,0.0,1.0,2.5,0.0,16,3,1,0,15.883333333333333,9.594963273871985
2,1.0,2.21,1.0,142.0,236.0,1.0,11.4,2.5,0.5,0.0,1.0,2.5,0.0,17,1,1,0,8.45,15.692307692307695
2,1.0,0.18,1.0,151.0,238.0,2.0,3.7,0.0,0.5,0.0,1.0,0.0,0.0,10,1,1,0,1.4166666666666667,7.6235294117647046
2,2.0,2.0,1.0,238.0,141.0,2.0,14.9,0.0,0.5,0.0,1.0,2.5,0.0,10,3,1,0,13.383333333333333,8.966376089663761
2,4.0,3.32,1.0,186.0,43.0,2.0,21.2,0.0,0.5,0.0,1.0,2.5,0.0,16,5,1,1,22.433333333333334,8.87964338781575
1,1.0,1.1,1.0,48.0,239.0,1.0,7.9,5.0,0.5,0.0,1.0,2.5,0.0,17,2,1,0,6.15,10.731707317073171
1,2.0,1.8,1.0,88.0,211.0,1.0,11.4,2.5,0.5,0.0,1.0,2.5,0.0,12,6,1,1,9.7,11.134020618556702
1,1.0,2.6,1.0,239.0,229.0,1.0,15.6,2.5,0.5,0.0,1.0,2.5,0.0,17,6,1,1,16.366666666666667,9.531568228105906
2,1.0,1.86,1.0,234.0,231.0,1.0,11.4,0.0,0.5,0.0,1.0,2.5,0.0,14,6,1,1,8.85,12.610169491525426
2,1.0,0.64,1.0,233.0,162.0,1.0,6.5,2.5,0.5,0.0,1.0,2.5,0.0,17,1,1,0,4.133333333333334,9.29032258064516
2,2.0,0.85,1.0,229.0,230.0,1.0,8.6,1.0,0.5,0.0,1.0,2.5,0.0,20,5,1,1,7.566666666666666,6.740088105726872
2,1.0,2.22,1.0,170.0,79.0,1.0,17.0,1.0,0.5,0.0,1.0,2.5,0.0,21,5,1,1,18.783333333333335,7.091393078970719
2,2.0,2.47,1.0,161.0,68.0,1.0,15.6,1.0,0.5,0.0,1.0,2.5,0.0,20,3,1,0,13.466666666666667,11.004950495049506
2,1.0,4.35,1.0,264.0,264.0,1.0,21.9,0.0,0.5,0.0,1.0,2.5,0.0,7,4,1,0,18.566666666666666,14.057450628366245
2,2.0,2.31,1.0,162.0,236.0,2.0,17.7,0.0,0.5,0.0,1.0,2.5,0.0,15,2,1,0,16.766666666666666,8.266401590457257
2,1.0,1.13,1.0,186.0,170.0,1.0,11.4,1.0,0.5,0.0,1.0,2.5,0.0,22,2,1,0,11.483333333333333,5.90420899854862
2,1.0,1.29,1.0,239.0,236.0,1.0,8.6,0.0,0.5,0.0,1.0,2.5,0.0,10,3,1,0,5.85,13.230769230769232
2,1.0,2.71,1.0,264.0,249.0,1.0,16.3,1.0,0.5,0.0,1.0,2.5,0.0,20,3,1,0,15.25,10.662295081967214
